x-axis,1,2,3
second,Volt,Volt,Volt
+8.04400E-03,+230.01932E-03,+34.38319575E+00,-23.97934E-03
+8.05800E-03,+230.35960E-03,+34.42540681E+00,-23.49105E-03
+8.07200E-03,+230.85349E-03,+34.51614350E+00,-23.97934E-03
+8.08600E-03,+230.64243E-03,+34.56639475E+00,-21.46677E-03
+8.10000E-03,+230.86212E-03,+34.61664601E+00,-21.46677E-03
+8.11400E-03,+230.97409E-03,+34.63904094E+00,-22.85959E-03
+8.12800E-03,+231.01429E-03,+34.71714852E+00,-22.45758E-03
+8.14200E-03,+230.99561E-03,+34.72892447E+00,-22.05557E-03
+8.15600E-03,+230.82476E-03,+34.77113554E+00,-23.79255E-03
+8.17000E-03,+230.81907E-03,+34.81765104E+00,-23.97934E-03
+8.18400E-03,+230.92384E-03,+34.91815355E+00,-22.08401E-03
+8.19800E-03,+230.86212E-03,+34.93853836E+00,-21.46677E-03
+8.21200E-03,+230.97125E-03,+35.04048232E+00,-23.97934E-03
+8.22600E-03,+230.74872E-03,+35.08269338E+00,-23.29003E-03
+8.24000E-03,+231.33590E-03,+35.11915858E+00,-23.97934E-03
+8.25400E-03,+230.62233E-03,+35.21736677E+00,-23.97934E-03
+8.26800E-03,+231.01003E-03,+35.25957784E+00,-21.98350E-03
+8.28200E-03,+231.02150E-03,+35.26991235E+00,-21.46677E-03
+8.29600E-03,+231.11337E-03,+35.34399997E+00,-22.78752E-03
+8.31000E-03,+230.94110E-03,+35.37041486E+00,-21.46677E-03
+8.32400E-03,+230.82334E-03,+35.47091737E+00,-23.59154E-03
+8.33800E-03,+230.86212E-03,+35.52088443E+00,-21.46677E-03
+8.35200E-03,+230.86212E-03,+35.56309550E+00,-21.46677E-03
+8.36600E-03,+230.69847E-03,+35.62167114E+00,-19.77244E-03
+8.38000E-03,+230.62528E-03,+35.69632717E+00,-22.75910E-03
+8.39400E-03,+230.59502E-03,+35.73997995E+00,-21.46677E-03
+8.40800E-03,+230.61086E-03,+35.82267617E+00,-21.46677E-03
+8.42200E-03,+230.61086E-03,+35.87292743E+00,-23.97934E-03
+8.43600E-03,+230.35960E-03,+35.87292743E+00,-21.78249E-03
+8.45000E-03,+230.79034E-03,+35.97342994E+00,-22.18450E-03
