v	A
9.13143158	0.00068736
9.14335251	0.00067658
9.15527344	0.00104686
9.16719437	0.00110193
9.17911530	0.00108695
9.19103622	0.00158942
9.20295715	0.00167292
9.21487808	0.00180878
9.22679901	0.00176945
9.23871994	0.00122929
9.25064087	0.00113353
9.26256180	0.00158640
9.27448273	0.00290495
9.28640366	0.00605106
9.29832458	0.00819619
9.31024551	0.00792304
9.32216644	0.00884029
9.33408737	0.00978548
9.34600830	0.00965274
9.35792923	0.00944779
9.36985016	0.00633989
9.38177109	0.00271180
9.39369202	0.00159567
9.40561295	0.00131695
9.41753387	0.00147183
9.42945480	0.00196856
9.44137573	0.00178738
9.45329666	0.00154432
9.46521759	0.00154725
9.47713852	0.00103204
9.48905945	0.00057967
9.50098038	0.00066656
9.51290131	0.00093902
9.52482224	0.00133449
9.53674316	0.00174154
9.54866409	0.00196162
9.56058502	0.00242111
9.57250595	0.00265350
9.58442688	0.00224591
9.59634781	0.00201053
9.60826874	0.00168467
9.62018967	0.00224432
9.63211060	0.00580849
9.64403152	0.00830071
9.65595245	0.00847057
9.66787338	0.00842647
9.67979431	0.00700088
9.69171524	0.00631552
9.70363617	0.00653184
9.71555710	0.00482655
9.72747803	0.00295752
9.73939896	0.00252959
9.75131989	0.00185981
9.76324081	0.00139667
9.77516174	0.00138117
9.78708267	0.00139620
9.79900360	0.00184508
9.81092453	0.00224636
9.82284546	0.00214448
9.83476639	0.00204399
9.84668732	0.00166379
9.85860825	0.00090795
9.87052917	0.00073416
9.88245010	0.00088268
9.89437103	0.00090178
9.90629196	0.00161099
9.91821289	0.00256834
9.93013382	0.00332088
9.94205475	0.00474641
9.95397568	0.00524025
9.96589661	0.00449649
9.97781754	0.00375399
9.98973846	0.00216493
10.00165939	0.00091163
10.01358032	0.00283016
10.02550125	0.00370252
10.03742218	0.00395450
10.04934311	0.00419826
10.06126404	0.00334466
10.07318497	0.00252428
10.08510590	0.00260290
10.09702682	0.00194925
10.10894775	0.00143089
10.12086868	0.00132990
10.13278961	0.00110117
10.14471054	0.00152425
10.15663147	0.00230314
10.16855240	0.00249319
10.18047333	0.00237534
10.19239426	0.00205514
10.20431519	0.00143225
10.21623611	0.00103264
10.22815704	0.00074641
10.24007797	0.00056827
10.25199890	0.00128892
10.26391983	0.00219358
10.27584076	0.00345956
10.28776169	0.00621102
10.29968262	0.00732157
10.31160355	0.00668578
10.32352448	0.00721822
10.33544540	0.00731225
10.34736633	0.00721127
10.35928726	0.00665799
10.37120819	0.00380189
10.38312912	0.00156754
10.39505005	0.00173656
10.40697098	0.00200076
10.41889191	0.00234433
10.43081284	0.00259581
10.44273376	0.00204622
10.45465469	0.00162518
10.46657562	0.00135513
10.47849655	0.00079024
10.49041748	0.00052970
10.50233841	0.00065806
10.51425934	0.00101410
10.52618027	0.00172681
10.53810120	0.00185779
10.55002213	0.00138384
10.56194305	0.00148425
10.57386398	0.00154475
10.58578491	0.00123570
10.59770584	0.00105659
10.60962677	0.00081765
10.62154770	0.00296415
10.63346863	0.00830445
10.64538956	0.01124796
10.65731049	0.01124356
10.66923141	0.01089743
10.68115234	0.00814745
10.69307327	0.00664872
10.70499420	0.00661034
10.71691513	0.00444063
10.72883606	0.00228700
10.74075699	0.00135727
10.75267792	0.00075687
10.76459885	0.00096222
10.77651978	0.00158150
10.78844070	0.00179991
10.80036163	0.00217271
10.81228256	0.00260965
10.82420349	0.00229262
10.83612442	0.00194776
10.84804535	0.00144872
10.85996628	0.00072593
10.87188721	0.00080175
10.88380814	0.00108572
10.89572906	0.00103864
10.90764999	0.00160299
10.91957092	0.00217995
10.93149185	0.00273926
10.94341278	0.00360805
10.95533371	0.00371636
10.96725464	0.01201395
10.97917557	0.02919023
10.99109650	0.03735111
11.00301743	0.03794298
11.01493835	0.03580139
11.02685928	0.02168224
11.03878021	0.00639290
11.05070114	0.00321099
11.06262207	0.00237639
11.07454300	0.00190911
11.08646393	0.00183531
11.09838486	0.00118577
11.11030579	0.00078522
11.12222672	0.00088004
11.13414764	0.00104567
11.14606857	0.00151663
11.15798950	0.00208397
11.16991043	0.00231636
11.18183136	0.00254996
11.19375229	0.00243458
11.20567322	0.00186523
11.21759415	0.00166492
11.22951508	0.00146339
11.24143600	0.00133798
11.25335693	0.00207904
11.26527786	0.00271058
11.27719879	0.00362590
11.28911972	0.00615516
11.30104065	0.00715927
11.31296158	0.00677463
11.32488251	0.00636011
11.33680344	0.00441471
11.34872437	0.00286007
11.36064529	0.00270354
11.37256622	0.00189771
11.38448715	0.00205933
11.39640808	0.00228973
11.40832901	0.00190146
11.42024994	0.00204847
11.43217087	0.00251416
11.44409180	0.00218238
11.45601273	0.00180506
11.46793365	0.00139657
11.47985458	0.00093840
11.49177551	0.00095338
11.50369644	0.00137366
11.51561737	0.00165677
11.52753830	0.00203078
11.53945923	0.00219768
11.55138016	0.00209882
11.56330109	0.00231148
11.57522202	0.00203297
11.58714294	0.00123084
11.59906387	0.00097598
11.61098480	0.00152566
11.62290573	0.00500687
11.63482666	0.01165282
11.64674759	0.01447028
11.65866852	0.01387943
11.67058945	0.01224735
11.68251038	0.00723281
11.69443130	0.00467091
11.70635223	0.00455961
11.71827316	0.00268206
11.73019409	0.00137747
11.74211502	0.00171797
11.75403595	0.00218236
11.76595688	0.00270725
11.77787781	0.00307785
11.78979874	0.00286987
11.80171967	0.00266189
11.81364059	0.00228297
11.82556152	0.00160413
11.83748245	0.00146694
11.84940338	0.00156781
11.86132431	0.00163315
11.87324524	0.00189381
11.88516617	0.00199640
11.89708710	0.00189815
11.90900803	0.00251906
11.92092896	0.00264073
11.93284988	0.00257173
11.94477081	0.00274097
11.95669174	0.00408242
11.96861267	0.02352471
11.98053360	0.05346641
11.99245453	0.06554643
12.00437546	0.06605852
12.01629639	0.06009629
12.02821732	0.03345472
12.04013824	0.00876210
12.05205917	0.00432479
12.06398010	0.00302392
12.07590103	0.00187494
12.08782196	0.00144832
12.09974289	0.00087509
12.11166382	0.00092199
12.12358475	0.00126466
12.13550568	0.00123652
12.14742661	0.00108039
12.15934753	0.00079774
12.17126846	0.00103727
12.18318939	0.00169165
12.19511032	0.00178272
12.20703125	0.00145795
12.21895218	0.00107564
12.23087311	0.00102844
12.24279404	0.00159129
12.25471497	0.00282736
12.26663589	0.00329944
12.27855682	0.00387864
12.29047775	0.00567664
12.30239868	0.00586066
12.31431961	0.00519039
12.32624054	0.00460618
12.33816147	0.00251083
12.35008240	0.00096193
12.36200333	0.00224656
12.37392426	0.00254019
12.38584518	0.00273576
12.39776611	0.00294241
12.40968704	0.00242747
12.42160797	0.00242954
12.43352890	0.00235607
12.44544983	0.00171530
12.45737076	0.00108921
12.46929169	0.00061721
12.48121262	0.00070310
12.49313354	0.00084137
12.50505447	0.00077643
12.51697540	0.00066328
12.52889633	0.00141884
12.54081726	0.00183774
12.55273819	0.00164948
12.56465912	0.00161666
12.57658005	0.00137650
12.58850098	0.00116940
12.60042191	0.00165906
12.61234283	0.00266613
12.62426376	0.00719675
12.63618469	0.01403979
12.64810562	0.01613900
12.66002655	0.01557410
12.67194748	0.01348974
12.68386841	0.00717141
12.69578934	0.00394575
12.70771027	0.00361429
12.71963120	0.00215759
12.73155212	0.00189484
12.74347305	0.00215206
12.75539398	0.00203589
12.76731491	0.00224684
12.77923584	0.00212427
12.79115677	0.00125374
12.80307770	0.00065829
12.81499863	0.00013351
12.82691956	0.00073333
12.83884048	0.00101410
12.85076141	0.00088212
12.86268234	0.00046135
12.87460327	0.00086587
12.88652420	0.00138599
12.89844513	0.00167948
12.91036606	0.00234052
12.92228699	0.00217053
12.93420792	0.00181415
12.94612885	0.00133233
12.95804977	0.00554998
12.96997070	0.03383421
12.98189163	0.07083888
12.99381256	0.08334639
13.00573349	0.08389165
13.01765442	0.07357967
13.02957535	0.03785471
13.04149628	0.00910209
13.05341721	0.00318423
13.06533813	0.00135174
13.07725906	0.00072940
13.08917999	0.00078931
13.10110092	0.00063153
13.11302185	0.00121282
13.12494278	0.00188646
13.13686371	0.00197245
13.14878464	0.00205842
13.16070557	0.00165019
13.17262650	0.00067440
13.18454742	0.00037691
13.19646835	0.00026785
13.20838928	0.00041627
13.22031021	0.00123295
13.23223114	0.00195476
13.24415207	0.00259088
13.25607300	0.00336383
13.26799393	0.00330170
13.27991486	0.00361940
13.29183578	0.00493832
13.30375671	0.00499321
13.31567764	0.00497470
13.32759857	0.00533399
13.33951950	0.00437142
13.35144043	0.00417283
13.36336136	0.00467875
13.37528229	0.00377179
13.38720322	0.00353753
13.39912415	0.00386585
13.41104507	0.00304990
13.42296600	0.00247914
13.43488693	0.00199662
13.44680786	0.00109113
13.45872879	0.00065796
13.47064972	0.00050671
13.48257065	0.00051801
13.49449158	0.00103160
13.50641251	0.00129623
13.51833344	0.00134248
13.53025436	0.00158804
13.54217529	0.00153086
13.55409622	0.00142438
13.56601715	0.00139006
13.57793808	0.00113907
13.58985901	0.00142303
13.60177994	0.00260894
13.61370087	0.00378890
13.62562180	0.00821873
13.63754272	0.01431577
13.64946365	0.01556628
13.66138458	0.01481148
13.67330551	0.01242808
13.68522644	0.00593523
13.69714737	0.00149827
13.70906830	0.00135137
13.72098923	0.00115448
13.73291016	0.00171387
13.74483109	0.00217377
13.75675201	0.00203882
13.76867294	0.00199994
13.78059387	0.00166842
13.79251480	0.00114480
13.80443573	0.00099707
13.81635666	0.00052744
13.82827759	0.00017304
13.84019852	0.00067613
13.85211945	0.00100571
13.86404037	0.00126417
13.87596130	0.00196947
