t (s),V (mV)
914.994,10.0291
915.994,10.0234
916.994,10.0197
917.994,10.0118
918.994,10.0057
919.995,9.9993
920.995,9.9919
921.996,9.9851
922.995,9.9806
923.995,9.9749
924.995,9.9751
925.995,9.9666
926.995,9.9589
927.995,9.9514
928.995,9.9489
929.995,9.942
930.995,9.9361
931.995,9.9299
932.995,9.9248
933.995,9.9184
934.996,9.9118
935.995,9.9066
936.995,9.9021
937.995,9.8956
938.995,9.8903
939.995,9.8846
940.996,9.8796
941.995,9.8745
942.995,9.8681
943.995,9.8635
944.995,9.8581
945.995,9.8527
946.995,9.8463
947.996,9.8417
948.995,9.8365
949.995,9.8298
950.995,9.8254
951.995,9.8201
952.996,9.8149
953.995,9.8088
954.995,9.8029
955.996,9.7978
956.995,9.7924
957.995,9.787
958.995,9.7813
959.996,9.7758
960.995,9.7702
961.995,9.7651
962.996,9.7591
963.995,9.7544
964.995,9.748
965.995,9.7419
966.995,9.7372
967.996,9.7314
968.995,9.7259
969.995,9.7208
970.995,9.7142
971.995,9.7081
972.995,9.703
973.995,9.6972
974.995,9.6925
975.995,9.6864
976.995,9.6816
