Time;Sec;Object Name;Status;Value
9:46:04;117;TIC Turbo Speed;;1.6
9:46:04;117;TIC Turbo Power;;5.4
9:46:05;118;TIC Gauge 1;11;19.861
9:46:05;118;TIC Gauge 2;5;9900000000
9:46:05;118;TIC Gauge 3;5;9900000000
9:46:07;120;TIC Turbo Speed;;1.6
9:46:07;120;TIC Turbo Power;;6.3
9:46:07;120;TIC Gauge 1;11;18.864
9:46:07;120;TIC Gauge 2;5;9900000000
9:46:07;120;TIC Gauge 3;5;9900000000
9:46:09;122;TIC Turbo Speed;;1.6
9:46:09;122;TIC Turbo Power;;6.1
9:46:09;122;TIC Gauge 1;11;18.215
9:46:09;122;TIC Gauge 2;5;9900000000
9:46:09;122;TIC Gauge 3;5;9900000000
9:46:11;124;TIC Gauge 3;5;9900000000
9:46:11;124;TIC Turbo Speed;;1.6
9:46:11;124;TIC Turbo Power;;6.3
9:46:11;124;TIC Gauge 1;11;17.579
9:46:11;124;TIC Gauge 2;5;9900000000
9:46:13;126;TIC Gauge 1;11;17.149
9:46:13;126;TIC Turbo Speed;;1.6
9:46:13;126;TIC Turbo Power;;6.5
9:46:13;126;TIC Gauge 2;5;9900000000
9:46:13;126;TIC Gauge 3;5;9900000000
9:46:15;128;TIC Turbo Speed;;1.6
9:46:15;128;TIC Turbo Power;;6.1
9:46:15;128;TIC Gauge 1;11;16.715
9:46:15;128;TIC Gauge 2;5;9900000000
9:46:15;128;TIC Gauge 3;5;9900000000
9:46:17;130;TIC Turbo Speed;;1.6
9:46:17;130;TIC Turbo Power;;8.2
9:46:17;130;TIC Gauge 1;11;16.384
9:46:17;130;TIC Gauge 2;5;9900000000
9:46:17;130;TIC Gauge 3;5;9900000000
9:46:19;132;TIC Gauge 1;11;16.281
9:46:19;132;TIC Turbo Speed;;1.6
9:46:19;132;TIC Turbo Power;;6.1
9:46:19;132;TIC Gauge 2;5;9900000000
9:46:19;132;TIC Gauge 3;5;9900000000
9:46:21;134;TIC Turbo Speed;;1.6
9:46:21;134;TIC Turbo Power;;6.1
9:46:21;134;TIC Gauge 1;11;16.054
9:46:21;134;TIC Gauge 2;5;9900000000
9:46:21;134;TIC Gauge 3;5;9900000000
9:46:23;136;TIC Turbo Speed;;1.6
9:46:23;136;TIC Turbo Power;;5.8
9:46:23;136;TIC Gauge 1;11;15.834
9:46:23;136;TIC Gauge 2;5;9900000000
9:46:23;136;TIC Gauge 3;5;9900000000
9:46:25;138;TIC Gauge 3;5;9900000000
9:46:25;138;TIC Turbo Speed;;1.6
9:46:25;138;TIC Turbo Power;;7
9:46:25;138;TIC Gauge 1;11;15.753
9:46:25;138;TIC Gauge 2;5;9900000000
9:46:27;140;TIC Turbo Speed;;1.6
9:46:27;140;TIC Turbo Power;;7.5
9:46:27;140;TIC Gauge 1;11;15.656
9:46:27;140;TIC Gauge 2;5;9900000000
9:46:27;140;TIC Gauge 3;5;9900000000
9:46:29;142;TIC Gauge 1;11;15.584
9:46:29;142;TIC Turbo Speed;;1.6
9:46:29;142;TIC Turbo Power;;5.4
9:46:29;142;TIC Gauge 2;5;9900000000
9:46:29;142;TIC Gauge 3;5;9900000000
9:46:31;144;TIC Turbo Speed;;1.6
9:46:31;144;TIC Turbo Power;;6.1
9:46:31;144;TIC Gauge 1;11;15.437
9:46:31;144;TIC Gauge 2;5;9900000000
9:46:31;144;TIC Gauge 3;5;9900000000
9:46:33;146;TIC Turbo Speed;;1.6
9:46:33;146;TIC Turbo Power;;6.5
9:46:33;146;TIC Gauge 1;11;15.353
9:46:33;146;TIC Gauge 2;5;9900000000
9:46:34;147;TIC Gauge 3;5;9900000000
9:46:35;148;TIC Turbo Speed;;1.6
9:46:35;148;TIC Turbo Power;;8.2
9:46:35;148;TIC Gauge 1;11;15.281
9:46:36;149;TIC Gauge 2;5;9900000000
9:46:36;149;TIC Gauge 3;5;9900000000
9:46:37;150;TIC Gauge 1;11;15.197
9:46:37;150;TIC Turbo Speed;;1.6
9:46:37;150;TIC Turbo Power;;6.8
9:46:38;151;TIC Gauge 2;5;9900000000
9:46:38;151;TIC Gauge 3;5;9900000000
9:46:39;152;TIC Turbo Speed;;1.6
9:46:39;152;TIC Turbo Power;;5.8
9:46:40;153;TIC Gauge 1;11;15.028
9:46:40;153;TIC Gauge 2;5;9900000000
9:46:40;153;TIC Gauge 3;5;9900000000
9:46:42;155;TIC Turbo Speed;;1.6
9:46:42;155;TIC Turbo Power;;7.5
