T,V1,V2,V3
-10.86400E-03,-59.79900E-03,+468.59252E-03,-39.99421883E+00
-10.85100E-03,-34.67337E-03,-33.92004E-03,-39.99421883E+00
-10.83800E-03,-14.57287E-03,-134.42255E-03,-40.24547511E+00
-10.82500E-03,+20.60301E-03,+468.59252E-03,-39.99421883E+00
-10.81200E-03,+60.80402E-03,+368.09001E-03,-39.99421883E+00
-10.79900E-03,+85.92964E-03,+1.27261263E+00,-39.99421883E+00
-10.78600E-03,+136.18090E-03,+1.27261263E+00,-39.99421883E+00
-10.77300E-03,+141.20603E-03,+468.59252E-03,-41.25050026E+00
-10.76000E-03,+141.20603E-03,+1.87562771E+00,-41.75301283E+00
-10.74700E-03,+141.20603E-03,+1.27261263E+00,-39.99421883E+00
-10.73400E-03,+181.40703E-03,+1.27261263E+00,-39.99421883E+00
-10.72100E-03,+181.40703E-03,+1.27261263E+00,-41.25050026E+00
-10.70800E-03,+216.58291E-03,+1.37311515E+00,-40.24547511E+00
-10.69500E-03,+181.40703E-03,+2.07663274E+00,-40.74798769E+00
-10.68200E-03,+186.43216E-03,+2.88065284E+00,-41.75301283E+00
-10.66900E-03,+221.60804E-03,+3.18216038E+00,-41.25050026E+00
-10.65600E-03,+221.60804E-03,+3.58417044E+00,-41.75301283E+00
-10.64300E-03,+246.73366E-03,+4.18718552E+00,-39.99421883E+00
-10.63000E-03,+221.60804E-03,+4.48869306E+00,-42.00426912E+00
-10.61700E-03,+221.60804E-03,+5.29271317E+00,-42.00426912E+00
-10.60400E-03,+221.60804E-03,+5.39321568E+00,-40.24547511E+00
-10.59100E-03,+236.68341E-03,+6.90075338E+00,-40.74798769E+00
-10.57800E-03,+221.60804E-03,+6.80025087E+00,-42.00426912E+00
-10.56500E-03,+221.60804E-03,+7.40326595E+00,-41.25050026E+00
-10.55200E-03,+221.60804E-03,+7.00125589E+00,-42.00426912E+00
-10.53900E-03,+221.60804E-03,+8.00628103E+00,-43.26055056E+00
-10.52600E-03,+186.43216E-03,+10.11683381E+00,-40.24547511E+00
-10.51300E-03,+221.60804E-03,+12.22738659E+00,-42.00426912E+00
-10.50000E-03,+216.58291E-03,+16.64949717E+00,-42.00426912E+00
-10.48700E-03,+206.53266E-03,+26.19723594E+00,-40.74798769E+00
