lambda I
704.0090763433566 -378.547038327526
704.1146000086661 -322.547038327526
704.2201115074046 -370.547038327526
704.3256108309287 -370.547038327526
704.4310979705949 -370.547038327526
704.53657291776 -354.547038327526
704.6420356637803 -390.547038327526
704.7474862000126 -426.547038327526
704.8529245178132 -466.547038327526
704.9583506085389 -314.547038327526
705.063764463546 -398.547038327526
705.1691660741914 -290.547038327526
705.2745554318312 -230.54703832752602
705.3799325278225 -354.547038327526
705.4852973535213 -290.547038327526
705.5906499002847 -322.547038327526
705.6959901594688 -242.54703832752602
705.8013181224304 -282.547038327526
705.9066337805261 -322.547038327526
706.0119371251124 -290.547038327526
706.1172281475457 -318.547038327526
706.2225068391828 -346.547038327526
706.3277731913801 -330.547038327526
706.4330271954942 -266.547038327526
706.5382688428817 -202.54703832752602
706.6434981248991 -250.54703832752602
706.7487150329031 -238.54703832752602
706.85391955825 -226.54703832752602
706.9591116922967 -210.54703832752602
707.0642914263993 -306.547038327526
707.1694587519148 -274.547038327526
707.2746136601997 -458.547038327526
707.3797561426103 -450.547038327526
707.4848861905033 -402.547038327526
707.5900037952354 -354.547038327526
707.6951089481629 -286.547038327526
707.8002016406425 -218.54703832752602
707.9052818640308 -242.54703832752602
708.0103496096842 -386.547038327526
708.1154048689596 -330.547038327526
708.2204476332131 -354.547038327526
708.3254778938015 -378.547038327526
708.4304956420815 -354.547038327526
708.5355008694094 -410.547038327526
708.6404935671419 -370.547038327526
708.7454737266354 -362.547038327526
708.8504413392467 -298.547038327526
708.9553963963322 -306.547038327526
709.0603388892484 -394.547038327526
709.1652688093521 -426.547038327526
709.2701861479998 -258.547038327526
709.3750908965478 -258.547038327526
709.4799830463528 -290.547038327526
709.5848625887716 -314.547038327526
709.6897295151605 -338.547038327526
709.794583816876 -354.547038327526
709.8994254852748 -338.547038327526
710.0042545117135 -354.547038327526
710.1090708875485 -346.547038327526
710.2138746041365 -298.547038327526
710.318665652834 -278.547038327526
710.4234440249977 -258.547038327526
710.5282097119839 -258.547038327526
710.6329627051493 -378.547038327526
710.7377029958504 -370.547038327526
710.842430575444 -370.547038327526
710.9471454352863 -362.547038327526
711.0518475667341 -362.547038327526
711.1565369611438 -362.547038327526
711.2612136098721 -450.547038327526
711.3658775042757 -382.547038327526
711.4705286357107 -314.547038327526
711.575166995534 -354.547038327526
711.679792575102 -306.547038327526
711.7844053657716 -346.547038327526
711.8890053588989 -322.547038327526
711.9935925458407 -306.547038327526
712.0981669179534 -386.547038327526
712.202728466594 -378.547038327526
712.3072771831185 -346.547038327526
712.4118130588837 -338.547038327526
712.5163360852462 -358.547038327526
712.6208462535625 -378.547038327526
712.7253435551892 -330.547038327526
712.8298279814828 -302.547038327526
712.9342995238 -274.547038327526
713.0387581734972 -282.547038327526
713.143203921931 -266.547038327526
713.2476367604579 -250.54703832752602
713.3520566804348 -250.54703832752602
713.4564636732177 -294.547038327526
713.5608577301635 -338.547038327526
713.6652388426288 -314.547038327526
713.76960700197 -362.547038327526
713.8739621995439 -314.547038327526
713.9783044267067 -278.547038327526
714.0826336748153 -330.547038327526
714.186949935226 -282.547038327526
714.2912531992955 -322.547038327526
714.3955434583803 -314.547038327526
