T,V1,V2,V3
+9.13600E-03,+1.60782815E+00,+38.93194036E+00,-23.97934E-03
+9.15000E-03,+1.60693072E+00,+38.97415143E+00,-23.97934E-03
+9.16400E-03,+1.60657187E+00,+39.01636249E+00,-26.49190E-03
+9.17800E-03,+1.60657187E+00,+39.05857356E+00,-24.97018E-03
+9.19200E-03,+1.60464814E+00,+39.13925911E+00,-23.97934E-03
+9.20600E-03,+1.60647845E+00,+39.18951037E+00,-23.97934E-03
+9.22000E-03,+1.60416690E+00,+39.23976162E+00,-23.97934E-03
+9.23400E-03,+1.60531559E+00,+39.32792034E+00,-24.59653E-03
+9.24800E-03,+1.60606227E+00,+39.36064813E+00,-23.97934E-03
+9.26200E-03,+1.60531559E+00,+39.44076665E+00,-23.97934E-03
+9.27600E-03,+1.60371463E+00,+39.49101791E+00,-23.97934E-03
+9.29000E-03,+1.60405931E+00,+39.58577372E+00,-26.20456E-03
+9.30400E-03,+1.60405931E+00,+39.59152042E+00,-23.97934E-03
+9.31800E-03,+1.60405931E+00,+39.64177168E+00,-25.97522E-03
+9.33200E-03,+1.60405931E+00,+39.69202293E+00,-25.57321E-03
+9.34600E-03,+1.60346338E+00,+39.74227419E+00,-26.49190E-03
+9.36000E-03,+1.60194167E+00,+39.80832245E+00,-23.97934E-03
+9.37400E-03,+1.60154674E+00,+39.84277670E+00,-23.97934E-03
+9.38800E-03,+1.60153966E+00,+39.89274459E+00,-23.97934E-03
+9.40200E-03,+1.60049855E+00,+39.94327922E+00,-26.07572E-03
+9.41600E-03,+1.60029046E+00,+40.02741798E+00,-23.97934E-03
+9.43000E-03,+1.60029046E+00,+40.06818568E+00,-23.97934E-03
+9.44400E-03,+1.60029046E+00,+40.09403299E+00,-23.97934E-03
+9.45800E-03,+1.59927835E+00,+40.15405118E+00,-23.97934E-03
+9.47200E-03,+1.59903418E+00,+40.19453550E+00,-23.97934E-03
+9.48600E-03,+1.59809357E+00,+40.24478676E+00,-23.97934E-03
+9.50000E-03,+1.59903418E+00,+40.33093563E+00,-23.97934E-03
+9.51400E-03,+1.59777790E+00,+40.39554053E+00,-23.97934E-03
+9.52800E-03,+1.59804332E+00,+40.44579179E+00,-25.50104E-03
+9.54200E-03,+1.59748347E+00,+40.49604304E+00,-23.97934E-03
+9.55600E-03,+1.59777790E+00,+40.49977990E+00,-23.97934E-03
+9.57000E-03,+1.59652162E+00,+40.59654556E+00,-26.49190E-03
+9.58400E-03,+1.59621303E+00,+40.64679681E+00,-23.97934E-03
+9.59800E-03,+1.59652162E+00,+40.74729933E+00,-23.97934E-03
+9.61200E-03,+1.59652162E+00,+40.76912668E+00,-23.97934E-03
+9.62600E-03,+1.59526534E+00,+40.79755058E+00,-25.80254E-03
+9.64000E-03,+1.59429640E+00,+40.85354881E+00,-23.97934E-03
+9.65400E-03,+1.59526534E+00,+40.94830435E+00,-24.09400E-03
+9.66800E-03,+1.59500700E+00,+40.98822220E+00,-26.49190E-03
+9.68200E-03,+1.59526534E+00,+41.03043327E+00,-26.49190E-03
+9.69600E-03,+1.59460499E+00,+41.04880687E+00,-26.49190E-03
+9.71000E-03,+1.59440399E+00,+41.11485540E+00,-23.97934E-03
+9.72400E-03,+1.59400905E+00,+41.19956064E+00,-26.49190E-03
+9.73800E-03,+1.59400198E+00,+41.19956064E+00,-26.49190E-03
+9.75200E-03,+1.59149649E+00,+41.30006315E+00,-23.97934E-03
